forecast_date,predicted_quantity,lower_bound,upper_bound,product_id,product_name,category,is_forecast
2011-01-29,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-01-30,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-01-31,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-01,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-02,72.0,0.0,374.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-03,36.0,0.0,338.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-04,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-05,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-06,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-07,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-08,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-09,1.0,0.0,303.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-10,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-11,36.0,0.0,338.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-12,36.0,0.0,338.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-13,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-14,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-15,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-16,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-17,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-18,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-19,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-20,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-21,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-22,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-23,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-24,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-25,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-26,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-27,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-02-28,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-01,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-02,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-03,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-04,36.0,0.0,338.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-05,36.0,0.0,338.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-06,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-07,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-08,108.0,0.0,410.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-09,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-10,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-11,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-12,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-13,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-14,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-15,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-16,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-17,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-18,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-19,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-20,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-21,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-22,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-23,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-24,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-25,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-26,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-27,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-28,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-29,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-30,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-03-31,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-01,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-02,253.0,0.0,555.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-03,36.0,0.0,338.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-04,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-05,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-06,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-07,36.0,0.0,338.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-08,108.0,0.0,410.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-09,108.0,0.0,410.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-10,576.0,273.5,878.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-11,36.0,0.0,338.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-12,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-13,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-14,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-15,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-16,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-17,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-18,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-19,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-20,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-21,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-22,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-23,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-24,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-25,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-26,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-27,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-28,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-29,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-04-30,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-01,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-02,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-03,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-04,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-05,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-06,36.0,0.0,338.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-07,216.0,0.0,518.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-08,36.0,0.0,338.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-09,36.0,0.0,338.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-10,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-11,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-12,3.0,0.0,305.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-13,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-14,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-15,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-16,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-17,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-18,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-19,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-20,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-21,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-22,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-23,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-24,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-25,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-26,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-27,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-28,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-29,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-30,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-05-31,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-01,576.0,273.5,878.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-02,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-03,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-04,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-05,72.0,0.0,374.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-06,36.0,0.0,338.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-07,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-08,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-09,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-10,180.0,0.0,482.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-11,36.0,0.0,338.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-12,36.0,0.0,338.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-13,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-14,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-15,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-16,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-17,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-18,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-19,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-20,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-21,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-22,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-23,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-24,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-25,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-26,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-27,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-28,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-29,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-06-30,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-01,72.0,0.0,374.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-02,36.0,0.0,338.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-03,900.0,597.5,1202.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-04,72.0,0.0,374.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-05,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-06,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-07,144.0,0.0,446.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-08,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-09,36.0,0.0,338.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-10,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-11,36.0,0.0,338.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-12,108.0,0.0,410.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-13,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-14,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-15,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-16,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-17,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-18,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-19,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-20,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-21,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-22,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-23,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-24,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-25,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-26,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-27,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-28,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-29,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-30,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-07-31,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-01,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-02,36.0,0.0,338.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-03,72.0,0.0,374.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-04,252.0,0.0,554.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-05,108.0,0.0,410.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-06,72.0,0.0,374.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-07,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-08,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-09,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-10,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-11,180.0,0.0,482.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-12,72.0,0.0,374.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-13,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-14,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-15,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-16,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-17,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-18,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-19,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-20,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-21,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-22,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-23,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-24,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-25,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-26,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-27,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-28,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-29,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-30,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-08-31,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-01,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-02,36.0,0.0,338.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-03,144.0,0.0,446.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-04,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-05,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-06,252.0,0.0,554.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-07,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-08,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-09,36.0,0.0,338.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-10,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-11,72.0,0.0,374.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-12,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-13,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-14,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-15,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-16,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-17,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-18,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-19,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-20,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-21,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-22,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-23,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-24,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-25,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-26,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-27,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-28,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-29,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-09-30,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-01,72.0,0.0,374.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-02,108.0,0.0,410.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-03,72.0,0.0,374.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-04,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-05,108.0,0.0,410.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-06,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-07,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-08,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-09,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-10,108.0,0.0,410.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-11,612.0,309.5,914.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-12,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-13,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-14,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-15,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-16,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-17,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-18,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-19,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-20,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-21,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-22,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-23,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-24,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-25,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-26,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-27,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-28,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-29,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-30,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-10-31,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-01,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-02,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-03,36.0,0.0,338.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-04,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-05,72.0,0.0,374.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-06,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-07,576.0,273.5,878.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-08,108.0,0.0,410.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-09,36.0,0.0,338.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-10,36.0,0.0,338.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-11,72.0,0.0,374.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-12,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-13,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-14,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-15,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-16,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-17,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-18,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-19,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-20,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-21,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-22,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-23,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-24,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-25,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-26,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-27,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-28,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-29,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-11-30,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-12-01,72.0,0.0,374.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-12-02,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-12-03,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-12-04,72.0,0.0,374.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-12-05,576.0,273.5,878.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-12-06,0.0,0.0,302.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-12-07,108.0,0.0,410.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-12-08,36.0,0.0,338.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-12-09,180.0,0.0,482.5,22492,MINI PAINT SET VINTAGE ,General,False
2011-12-10,74.57,0.0,377.07,22492,MINI PAINT SET VINTAGE ,General,False
2011-12-11,74.57,0.0,377.07,22492,MINI PAINT SET VINTAGE ,General,True
2011-12-12,74.57,0.0,377.07,22492,MINI PAINT SET VINTAGE ,General,True
2011-12-13,74.57,0.0,377.07,22492,MINI PAINT SET VINTAGE ,General,True
2011-12-14,74.57,0.0,377.07,22492,MINI PAINT SET VINTAGE ,General,True
2011-12-15,74.57,0.0,377.07,22492,MINI PAINT SET VINTAGE ,General,True
2011-12-16,74.57,0.0,377.07,22492,MINI PAINT SET VINTAGE ,General,True
2011-12-17,74.57,0.0,377.07,22492,MINI PAINT SET VINTAGE ,General,True
2011-12-18,74.57,0.0,377.07,22492,MINI PAINT SET VINTAGE ,General,True
